;Adresse;CP;Ville;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
0; 1 Avenue Des Genets;98000;Monaco ;5.41;2.09;;;3.5;2.26;1.55
1; 1 Avenue Du Canada Cc Alma;35200;Rennes ;4.57;1.45;1.55;2.26;2.7;1.79;1.05
2; 1 Avenue Du General De Gaulle;56400;Auray ;4.65;1.65;1.45;2.45;2.99;2.15;1.25
3; 1 Avenue Du General Sarrail;75016;Paris ;4.6;1.65;1.59;2.35;3.25;2.39;1.35
4; 1 Avenue Jacques Anquetil Cc Les Olympiades;95190;Goussainville ;;1.59;1.59;2.25;2.99;2.15;1.35
5; 1 Avenue Mendes France;33340;Lesparre-Médoc ;4.6;1.59;1.55;2.29;2.99;2.15;1.25
6; 1 Bis Rue Cantelaude;33990;Hourtin ;4.65;1.65;1.59;;2.99;2.29;1.29
7; 1 Boulevard Beaucerf;62200;Boulogne-sur-Mer ;5.28;2.19;1.86;;3.35;;
8; 1 Boulevard Des Alpes;38240;Meylan ;;1.59;1.59;;;1.99;1.25
9; 1 Boulevard Du Marechal Juin Cc Cote De Nacre;14000;Caen ;4.6;1.59;1.55;2.45;2.89;2.15;1.35
10; 1 Boulevard Mutuel;72000;Le Mans ;5.19;;2.1;;3.26;2.25;
11; 1 Chemin De Geles Avenue De Soulac;33320;Le Taillan-Médoc ;4.65;1.59;1.43;;2.95;2.09;1.25
12; 1 Chemin De La Roseraie Cc Chateau Roussillon;66000;Perpignan ;4.6;1.65;1.59;;2.99;;1.35
13; 1 Chemin Du Marais;80480;Pont-de-Metz ;5.01;2.07;1.76;2.87;3.07;2.13;1.28
14; 1 Chemin Grange Neuve;38790;Diémoz ;4.99;1.96;1.91;;3.08;;
15; 1 Cote Des Auges Lieudit Le Gros Saule;95180;Menucourt ;4.65;1.59;1.45;;2.99;2.15;
16; 1 Montee Roy;69270;Fontaines-sur-Saône ;4.65;1.59;1.59;;2.99;2.15;1.29
17; 1 Pl Des Marronniers;31700;Blagnac ;;1.9;2.02;;;;1.39
18; 1 Place J Spire-Lemaitre Rue Des Pommiers;94300;Vincennes ;4.79;;1.59;;2.99;2.29;1.35
19; 1 Place Jean-Baptiste Durand Marche Couvert;47000;Agen ;4.97;1.9;2.02;2.5;2.99;2.15;1.29
20; 1 Place Moreau David;94120;Fontenay-sous-Bois ;6.06;;2.32;;3.92;2.51;1.72
21; 1 Route De Mondorf;57100;Manom ;4.65;1.59;1.55;2.21;2.95;1.99;1.25
22; 1 Rue Albert Sarraut;78000;Versailles ;5.39;1.85;1.99;;3.19;2.5;1.35
23; 1 Rue Bonne Chauffe;17520;Archiac ;4.97;1.9;2.02;;2.99;2.15;1.29
24; 1 Rue De Champagne;61200;Argentan ;4.65;1.59;1.39;2.45;;1.99;1.25
25; 1 Rue De L'ile De France;78711;Mantes-la-Ville ;4.99;1.88;2.04;2.61;3.13;2.17;1.3
26; 1 Rue De La Charite Saint Epvre;54000;Nancy ;5.85;;1.9;3.39;3.6;2.75;1.45
27; 1 Rue De La Maison Coupee Zac Du Patis;86000;Poitiers ;5.01;2.14;1.8;;3.14;2.29;1.41
28; 1 Rue Denis Papin;61000;Alençon ;4.65;1.59;1.39;;2.99;2.09;1.25
29; 1 Rue Des Abattoirs;38120;Saint-Égrève ;;1.59;1.59;;2.99;1.99;1.35
30; 1 Rue Des Tourneurs;31000;Toulouse ;5.68;2.07;2.2;;;2.45;1.58
31; 1 Rue Du Fort;57420;Verny ;5.15;1.79;1.9;2.79;2.99;2.4;1.29
32; 1 Rue Du General Duport;67170;Brumath ;5.65;1.95;2.1;;;2.65;
33; 1 Rue Du Grenier A Sel;45000;Orléans ;5.09;2.16;1.84;;;;1.29
34; 1 Rue Du Moulin;29730;Guilvinec ;4.99;2.14;1.8;;;2.29;
35; 1 Rue Du Pont Neuf;91160;Saulx-les-Chartreux ;4.65;;1.59;2.21;;2.29;1.25
36; 1 Rue Duguay Trouin Chavy;41000;Blois ;4.65;1.59;1.39;2.21;2.95;1.99;1.25
37; 1 Rue Frederic Chaplet;53240;Andouillé ;4.99;2.14;1.8;;;2.29;1.26
38; 1 Rue Frederic Sauvage;13500;Martigues ;4.65;1.59;1.68;2.55;2.99;2.29;1.35
